Tropical Cyclone Billion-Dollar Disasters to affect the U.S. from 1980-2022 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Hurricane Allen (August 1980)","Tropical Cyclone",19800807,19800811,2106.4,13
"Hurricane Alicia (August 1983)","Tropical Cyclone",19830817,19830820,8910.0,21
"Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3580.9,4
"Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2354.4,11
"Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,4100.9,63
"Tropical Storm Allison (June 1989)","Tropical Cyclone",19890626,19890628,1404.0,11
"Hurricane Hugo (September 1989)","Tropical Cyclone",19890921,19890922,21419.9,86
"Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,3276.4,18
"Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,56970.0,61
"Hurricane Iniki (September 1992)","Tropical Cyclone",19920911,19920912,6541.0,7
"Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,2007.0,32
"Hurricane Erin (August 1995)","Tropical Cyclone",19950801,19950807,1657.5,6
"Hurricane Marilyn (September 1995)","Tropical Cyclone",19950915,19950917,4074.0,13
"Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,9096.6,27
"Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,9463.2,37
"Tropical Storm Frances (September 1998)","Tropical Cyclone",19980808,19980813,1274.0,2
"Hurricane Bonnie (August 1998)","Tropical Cyclone",19980827,19980829,1783.6,3
"Hurricane Georges (September 1998)","Tropical Cyclone",19980920,19980929,10891.9,16
"Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,11489.1,77
"Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,14231.8,43
"Hurricane Lili (October 2002)","Tropical Cyclone",20020801,20020805,1822.5,2
"Tropical Storm Isidore (September 2002)","Tropical Cyclone",20020925,20020927,1886.0,5
"Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,8829.3,55
"Hurricane Charley (August 2004)","Tropical Cyclone",20040813,20040814,25119.2,35
"Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,15386.1,48
"Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,32185.8,57
"Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,11769.6,28
"Hurricane Dennis (July 2005)","Tropical Cyclone",20050709,20050711,3792.4,15
"Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,190045.0,1833
"Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,27750.2,119
"Hurricane Wilma (October 2005)","Tropical Cyclone",20051024,20051024,28310.0,35
"Hurricane Dolly (July 2008)","Tropical Cyclone",20080723,20080725,1710.8,3
"Hurricane Gustav (September 2008)","Tropical Cyclone",20080831,20080903,8155.9,53
"Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,40798.3,112
"Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,17677.2,45
"Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,3291.4,21
"Hurricane Isaac (August 2012)","Tropical Cyclone",20120826,20120831,3564.9,9
"Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,83901.4,159
"Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,12300.0,49
"Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,151250.0,89
"Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,60500.0,97
"Hurricane Maria (September 2017)","Tropical Cyclone",20170919,20170921,108900.0,2981
"Hurricane Florence (September 2018)","Tropical Cyclone",20180913,20180916,28320.0,53
"Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,29470.5,49
"Hurricane Dorian (September 2019)","Tropical Cyclone",20190828,20190906,1867.6,10
"Tropical Storm Imelda (September 2019)","Tropical Cyclone",20190917,20190921,5800.0,5
"Hurricane Hanna (July 2020)","Tropical Cyclone",20200725,20200726,1225.5,0
"Hurricane Isaias (August 2020)","Tropical Cyclone",20200803,20200804,5470.8,16
"Hurricane Laura (August 2020)","Tropical Cyclone",20200827,20200828,26697.4,42
"Hurricane Sally (September 2020)","Tropical Cyclone",20200915,20200917,8365.2,5
"Hurricane Delta (October 2020)","Tropical Cyclone",20201009,20201011,3297.3,5
"Hurricane Zeta (October 2020)","Tropical Cyclone",20201028,20201029,5004.9,6
"Tropical Storm Eta (November 2020)","Tropical Cyclone",20201108,20201112,1664.4,12
"Tropical Storm Elsa (July 2021)","Tropical Cyclone",20210707,20210709,1322.3,1
"Tropical Storm Fred (August 2021)","Tropical Cyclone",20210816,20210818,1392.1,7
"Hurricane Ida (August 2021)","Tropical Cyclone",20210829,20210901,80193.7,96
"Hurricane Nicholas (September 2021)","Tropical Cyclone",20210914,20210918,1107.5,0
"Hurricane Fiona (September 2022)","Tropical Cyclone",20220917,20220918,2535.1,25
"Hurricane Ian (September 2022)","Tropical Cyclone",20220928,20220930,112918.0,152
"Hurricane Nicole (November 2022)","Tropical Cyclone",20221110,20221111,1020.0,5
